y_true,y_hat,ops
0.431,0.402,367397
0.431,0.396,367486
0.431,0.395,367613
0.431,0.393,367729
0.431,0.393,367826
0.431,0.399,367877
0.431,0.393,367966
0.431,0.396,368148
0.431,0.393,368181
0.431,0.435,368253
0.627,0.401,368458
0.431,0.394,368555
0.431,0.399,368644
0.431,0.398,368849
0.431,0.399,368920
0.431,0.399,369012
0.431,0.393,369187
0.431,0.393,369233
0.431,0.401,369292
0.431,0.401,369373
0.431,0.397,369411
0.431,0.393,369462
0.431,0.393,369616
0.431,0.404,369659
0.431,0.396,369934
0.431,0.394,370070
0.431,0.395,370088
0.431,0.394,370258
0.431,0.399,370321
0.431,0.396,370339
0.431,0.394,370363
0.431,0.393,370568
0.431,0.399,370584
0.431,0.397,370681
0.431,0.393,370711
0.431,0.394,370746
0.431,0.399,370762
0.431,0.394,370975
0.627,0.398,371068
0.431,0.399,371106
0.431,0.403,371254
0.431,0.394,371343
0.431,0.395,371564
0.431,0.395,371629
0.431,0.397,371777
0.431,0.393,371891
0.431,0.396,372030
0.431,0.399,372137
0.431,0.393,372188
0.431,0.397,372404
0.431,0.399,372561
0.431,0.397,372609
0.431,0.393,372960
0.431,0.392,373010
0.431,0.396,373109
0.431,0.393,373141
0.431,0.393,373788
0.431,0.393,373907
0.431,0.399,374300
0.431,0.399,374326
0.431,0.396,374440
0.431,0.393,374563
0.431,0.393,374903
0.431,0.393,375268
0.431,0.393,375454
0.431,0.411,375471
0.431,0.399,375764
0.431,0.548,375918
0.431,0.399,376345
0.431,0.394,376493
0.431,0.393,376604
0.431,0.393,376663
0.431,0.399,377228
0.431,0.399,377252
0.431,0.393,377368
0.431,0.393,378038
0.431,0.393,378348
0.431,0.393,378577
0.627,0.399,378666
0.431,0.393,378682
0.627,0.399,378861
0.431,0.393,378941
0.431,0.396,379280
0.627,0.399,379344
0.431,0.393,379557
0.431,0.399,379697
0.431,0.393,379778
0.431,0.396,379891
0.431,0.399,379956
0.431,0.393,380041
0.431,0.394,380555
0.431,0.393,380563
0.431,0.393,381144
0.431,0.393,381161
0.431,0.393,381357
0.431,0.399,382108
0.431,0.394,382281
0.431,0.393,382337
0.431,0.398,382442
0.431,0.395,382540
0.431,0.395,382574
0.431,0.398,382639
0.431,0.395,382655
0.431,0.399,382833
0.431,0.398,382868
0.431,0.405,382876
0.431,0.393,383520
0.431,0.395,383538
0.431,0.393,383929
0.431,0.397,383945
0.431,0.398,384003
0.431,0.397,384054
0.431,0.397,384356
0.431,0.397,384577
0.431,0.394,384585
0.431,0.399,384704
0.431,0.393,384739
0.431,0.393,384844
0.431,0.396,385255
0.431,0.396,385620
0.431,0.399,385697
0.431,0.395,385751
0.431,0.393,386219
0.431,0.395,386588
0.431,0.399,386596
0.431,0.395,386898
0.431,0.396,386901
0.431,0.392,387185
0.431,0.395,387495
0.431,0.399,388092
0.431,0.397,388122
0.431,0.395,388742
0.431,0.393,389358
0.431,0.396,389421
0.431,0.393,389854
0.431,0.405,390178
0.431,0.393,390259
0.431,0.399,390372
0.431,0.395,391298
0.431,0.394,391727
0.431,0.394,392154
0.431,0.397,392391
0.431,0.394,392634
0.431,0.398,392804
0.431,0.399,393321
0.431,0.394,393533
0.431,0.393,394009
0.431,0.393,394271
0.431,0.393,394734
0.431,0.4,395340
0.431,0.392,395480
0.431,0.393,397245
0.431,0.395,397865
0.431,0.408,399442
0.431,0.396,400106
0.431,0.395,400114
0.627,0.399,400131
0.431,0.393,400190
0.431,0.394,400246
0.431,0.394,400271
0.431,0.398,400289
0.431,0.393,400297
0.431,0.395,400319
0.431,0.396,400327
0.431,0.395,400335
0.431,0.399,400343
0.431,0.426,400360
0.431,0.393,400386
0.431,0.395,400408
0.431,0.399,400416
0.431,0.393,400459
0.431,0.399,400467
0.627,0.399,400491
0.451,0.393,400521
0.627,0.399,400530
0.431,0.393,400556
0.431,0.395,400564
0.431,0.393,400572
0.627,0.399,400611
0.431,0.393,400629
0.431,0.393,400661
0.431,0.393,400734
